sim,seed,horizon,target_portfolio_annual_vol,annual_drift,n_events,tp,fn,fp,tn,true_positive_rate,false_negative_rate,false_positive_rate,true_negative_rate,precision,label_positive_rate,true_drift_event_rate,balanced_accuracy,pt_hit_share,sl_hit_share,vertical_hit_share,avg_time_to_pt,avg_time_to_sl
1,20001,60,0.02,0.5,124000,15753,9047,29900,69300,0.6352016129032259,0.3647983870967742,0.3014112903225806,0.6985887096774194,0.3450594703524412,0.36816935483870966,0.2,0.6668951612903227,0.36816935483870966,0.23770967741935484,0.3941209677419355,30.27649880621208,32.85055638485547
1,20001,90,0.02,0.5,124000,17571,7229,30558,68642,0.708508064516129,0.291491935483871,0.3080443548387097,0.6919556451612904,0.3650813438883002,0.38813709677419356,0.2,0.7002318548387096,0.38813709677419356,0.2336451612903226,0.37821774193548385,43.96931164162979,48.98011873533066
1,20001,150,0.02,0.5,123000,19581,5019,31270,67130,0.7959756097560976,0.20402439024390243,0.3177845528455285,0.6822154471544716,0.3850661737232306,0.4134227642276423,0.2,0.7390955284552846,0.4134227642276423,0.22983739837398373,0.356739837398374,69.93437690507561,81.91213300318358
1,20001,30,0.02,0.7,124500,15428,9472,28465,71135,0.6195983935742971,0.3804016064257028,0.28579317269076304,0.7142068273092369,0.3514911261476773,0.3525542168674699,0.2,0.666902610441767,0.3525542168674699,0.23216867469879518,0.41527710843373494,15.771626455243434,16.749316727209827
1,20001,60,0.02,0.7,124000,18452,6348,29900,69300,0.7440322580645161,0.2559677419354839,0.3014112903225806,0.6985887096774194,0.3816181336863005,0.38993548387096777,0.2,0.7213104838709677,0.38993548387096777,0.23144354838709677,0.3786209677419355,29.583988252812706,32.8757099550507
1,20001,90,0.02,0.7,124000,20203,4597,30558,68642,0.8146370967741936,0.18536290322580645,0.3080443548387097,0.6919556451612904,0.39800240341994836,0.40936290322580643,0.2,0.753296370967742,0.40936290322580643,0.2280241935483871,0.36261290322580647,42.52971769665688,48.988576480990275
1,20001,150,0.02,0.7,123000,21993,2607,31270,67130,0.8940243902439025,0.10597560975609756,0.3177845528455285,0.6822154471544716,0.41291327938719186,0.43303252032520323,0.2,0.788119918699187,0.43303252032520323,0.22513821138211382,0.34182926829268295,66.7319339879466,82.00603062256248
1,20001,30,0.02,0.9,124500,17404,7496,28465,71135,0.6989558232931727,0.3010441767068273,0.28579317269076304,0.7142068273092369,0.3794283721031634,0.368425702811245,0.2,0.7065813253012048,0.368425702811245,0.22705220883534136,0.40452208835341363,15.521594104951056,16.74196971840951
1,20001,60,0.02,0.9,124000,20484,4316,29900,69300,0.8259677419354838,0.17403225806451614,0.3014112903225806,0.6985887096774194,0.40655763734518896,0.4063225806451613,0.2,0.7622782258064515,0.4063225806451613,0.22740322580645161,0.3662741935483871,28.752381708478882,32.89676572806582
1,20001,90,0.02,0.9,124000,22032,2768,30558,68642,0.8883870967741936,0.11161290322580646,0.3080443548387097,0.6919556451612904,0.41893896177980605,0.42411290322580647,0.2,0.790171370967742,0.42411290322580647,0.2245806451612903,0.35130645161290325,40.96341509792736,48.98890405056019
1,20001,150,0.02,0.9,123000,23314,1286,31270,67130,0.9477235772357724,0.05227642276422764,0.3177845528455285,0.6822154471544716,0.427121500806097,0.44377235772357726,0.2,0.8149695121951219,0.44377235772357726,0.22299186991869918,0.33323577235772356,63.55875348087351,82.04196441592534
2,20002,30,0.02,0.1,124500,8256,16644,28313,71287,0.33156626506024095,0.668433734939759,0.2842670682730924,0.7157329317269077,0.22576499220651372,0.2937269076305221,0.2,0.5236495983935743,0.2937269076305221,0.26272289156626505,0.44355020080321284,16.120238453334792,16.694701764040477
2,20002,60,0.02,0.1,124000,9143,15657,29664,69536,0.36866935483870966,0.6313306451612903,0.2990322580645161,0.7009677419354838,0.23560182441312136,0.3129596774193548,0.2,0.5348185483870967,0.3129596774193548,0.26711290322580644,0.4199274193548387,30.93037338624475,32.802125475514764
2,20002,90,0.02,0.1,124000,9816,14984,30412,68788,0.39580645161290323,0.6041935483870968,0.3065725806451613,0.6934274193548388,0.2440091478572139,0.32441935483870965,0.2,0.544616935483871,0.32441935483870965,0.26568548387096774,0.4098951612903226,45.54327831361241,49.19532554257095
2,20002,150,0.02,0.1,123000,10536,14064,30962,67438,0.42829268292682926,0.5717073170731707,0.31465447154471543,0.6853455284552845,0.25389175381946116,0.3373821138211382,0.2,0.5568191056910569,0.3373821138211382,0.2604471544715447,0.4021707317073171,73.86630680996674,82.12773528952708
2,20002,30,0.02,0.3,124500,10910,13990,28313,71287,0.43815261044176707,0.5618473895582329,0.2842670682730924,0.7157329317269077,0.2781531244422915,0.31504417670682733,0.2,0.5769427710843373,0.31504417670682733,0.24899598393574296,0.4359598393574297,16.119343242485275,16.674741935483873
2,20002,60,0.02,0.3,124000,12797,12003,29664,69536,0.516008064516129,0.483991935483871,0.2990322580645161,0.7009677419354838,0.30138244506723816,0.3424274193548387,0.2,0.6084879032258064,0.3424274193548387,0.24963709677419355,0.40793548387096773,30.74995878570924,32.77625585527378
2,20002,90,0.02,0.3,124000,14196,10604,30412,68788,0.5724193548387096,0.4275806451612903,0.3065725806451613,0.6934274193548388,0.31823888091822095,0.35974193548387096,0.2,0.6329233870967742,0.35974193548387096,0.24588709677419354,0.3943709677419355,44.98966553084649,49.14260413250246
2,20002,150,0.02,0.3,123000,16006,8594,30962,67438,0.650650406504065,0.349349593495935,0.31465447154471543,0.6853455284552845,0.3407852154658491,0.38185365853658537,0.2,0.6679979674796748,0.38185365853658537,0.2384308943089431,0.37971544715447153,72.4054888434679,81.98625839669928
